,close,cut,fold,insert,move,open,pick,place,pour,press,pull,push,rotate,screw,sort,stack,wipe,wrap
dlr_edan,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
fanuc,79,0,0,0,7,36,133,0,3,17,0,61,0,0,0,34,0,0
franka,2475,10,1030,387,7259,3020,12428,17318,2124,1063,361,1165,2510,6,492,734,1194,188
google_robot,7118,0,0,0,20259,7807,31061,16679,487,0,0,0,0,0,0,0,0,0
hello_stretch,1649,0,0,0,0,2423,1160,0,0,521,25,0,0,0,0,0,0,0
jaco,0,0,0,0,0,0,508,468,0,0,0,0,0,0,0,0,0,0
sawyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ur5,0,0,0,0,0,0,446,226,0,0,0,0,0,0,0,0,224,0
widowx,1373,1,3077,0,8511,1562,4675,12538,69,17,29,113,1609,0,4,7,1059,47
xarm,80,0,0,0,0,40,320,80,0,0,0,80,30,0,0,0,0,0
