embodiment,close,cut,fold,insert,move,open,pick,place,pour,press,pull,push,rotate,screw,sort,stack,wipe,wrap
dlr_edan,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
fanuc_mate,3,0,0,0,1,3,16,0,1,1,0,2,0,0,0,1,0,0
franka,822,10,439,16,4839,1262,7572,10028,903,587,246,563,1214,5,309,313,732,113
google_robot,5,0,0,0,337,5,151,92,1,0,0,0,0,0,0,0,0,0
h5_franka_3rgb,14,0,0,1,0,13,11,40,0,0,4,1,14,0,0,1,0,0
h5_franka_fr3_dual,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0
h5_sim_franka_3rgb,0,0,0,0,0,2,9,8,0,0,0,0,0,0,0,0,0,0
h5_sim_tienkung_1rgb,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
h5_simulation,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0
h5_tienkung_gello_1rgb,3,0,0,0,0,3,5,27,0,1,0,0,2,0,0,0,3,0
h5_tienkung_prod1_gello_1rgb,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
h5_tienkung_xsens_1rgb,0,0,0,5,2,0,4,5,1,2,0,4,0,0,0,0,1,0
h5_ur_1rgb,3,0,0,7,0,4,57,61,0,0,0,0,0,10,0,0,0,1
hello_stretch,2,0,0,0,0,5,4,0,0,1,1,0,0,0,0,0,0,0
jaco_2,0,0,0,0,0,0,12,76,0,0,0,0,0,0,0,0,0,0
ur5,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0
widowx,46,1,819,0,7528,81,2330,5920,5,11,26,106,164,0,4,7,55,38
xarm,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0
