subset,source,H,n_verbs,top2,gini,n_tasks
bridge_orig_lerobot,OXE,2.396,408,0.576,0.955,19973
fractal20220817_data_lerobot,OXE,1.096,6,0.816,0.608,598
droid_lerobot,OXE,2.747,216,0.368,0.935,31307
nyu_franka_play_dataset_lerobo,OXE,-0.0,1,1.0,0.0,1
dlr_edan_shared_control_lerobo,OXE,-0.0,1,1.0,0.0,9
nyu_door_opening_surprising_ef,OXE,-0.0,1,1.0,0.0,1
viola_lerobot,OXE,1.099,3,0.667,0.0,3
jaco_play_lerobot,OXE,0.398,2,1.0,0.364,88
roboturk_lerobot,OXE,1.099,3,0.667,0.0,3
taco_play_lerobot,OXE,2.647,23,0.266,0.531,403
toto_lerobot,OXE,-0.0,1,1.0,0.0,1
austin_sailor_dataset_lerobot,OXE,0.562,2,1.0,0.25,4
austin_sirius_dataset_lerobot,OXE,0.693,2,1.0,0.0,2
cmu_stretch_lerobot,OXE,1.055,3,0.8,0.133,5
iamlab_cmu_pickup_insert_lerob,OXE,0.41,2,1.0,0.357,7
furniture_bench_dataset_lerobo,OXE,-0.0,1,1.0,0.0,9
dobbe_lerobot,OXE,1.55,5,0.571,0.171,7
berkeley_cable_routing_lerobot,OXE,-0.0,1,1.0,0.0,1
austin_buds_dataset_lerobot,OXE,-0.0,1,1.0,0.0,1
cmu_play_fusion_lerobot,OXE,0.642,2,1.0,0.159,44
berkeley_rpt_lerobot,OXE,1.04,3,0.75,0.167,4
berkeley_mvp_lerobot,OXE,1.242,4,0.667,0.25,6
berkeley_autolab_ur5_lerobot,OXE,1.332,4,0.6,0.15,5
berkeley_fanuc_manipulation_le,OXE,1.787,11,0.594,0.523,32
