task,verb,tier,failures
135-place_cup_on_blue_bowl_with_left_hand,place,1.0,6
136-place_cup_on_blue_bowl_with_right_hand,place,1.0,9
137-place_cup_on_blue_bowl_with_left_hand_and_randomly_textured_table,place,1.0,9
138-place_cup_on_blue_bowl_with_right_hand_and_randomly_textured_table,place,1.0,6
139-place_cup_on_blue_bowl_with_left_hand_and_one_other,place,1.0,5
140-place_cup_on_blue_bowl_with_right_hand_and_one_other,place,1.0,13
141-place_cup_on_blue_bowl_with_left_hand_and_three_others,place,1.0,8
142-place_cup_on_blue_bowl_with_right_hand_and_three_others,place,1.0,17
143-place_cup_on_blue_bowl_with_left_hand_and_five_others,place,1.0,12
144-place_cup_on_blue_bowl_with_right_hand_and_five_others,place,1.0,21
145-place_new_style_cup_on_blue_bowl_with_left_hand,place,1.0,12
146-place_new_style_cup_on_blue_bowl_with_right_hand,place,1.0,28
470-put_apple_from_plate_into_bowl,put,1.0,25
471-put_apple_from_plate_in_middle_left_into_bowl,put,1.0,23
472-put_apple_from_plate_in_middle_right_into_bowl,put,1.0,13
473-put_apple_from_plate_into_bowl_in_middle_left,put,1.0,21
474-put_apple_from_plate_into_bowl_in_middle_right,put,1.0,43
475-put_apple_from_plate_into_bowl_with_randomly_textured_table,put,1.0,10
476-put_apple_from_plate_into_bowl_with_one_other,put,1.0,23
477-put_apple_from_plate_into_bowl_with_three_others,put,1.0,9
478-put_apple_from_plate_into_bowl_with_five_others,put,1.0,41
479-put_apple_from_plate_into_bowl_with_ten_others,put,1.0,14
chopsticks_into_container,chopsticks,,56
close_oven_ur,close,2.0,14
dual_04_put_pear_and_tennis_into_blue_box_copy_1742182723656,dual,,17
dual_04_put_pear_and_tennis_into_pink_box_copy_1742182731496,dual,,21
dual_04_table_bussing,dual,,155
flip_the_cup_upright,flip,3.0,1
fold_towel_and_hang_it_on_the_rack,fold,2.0,12
franka2_add_seasoning,franka,,9
franka2_gather_strawberries,franka,,14
franka2_get_the_cubes_in_line,franka,,1
franka2_lay_out_the_dish,franka,,2
franka2_lay_out_the_fork,franka,,1
franka2_lay_out_the_spoon,franka,,8
franka2_move_apple_from_plate_to_bowl,franka,,6
franka2_move_garnet_from_plate_to_bowl,franka,,8
franka2_move_lemon_from_plate_to_bowl,franka,,3
franka2_pick_place_apple_on_the_plate,franka,,19
franka2_put_mug_on_the_laptop,franka,,3
franka2_put_steamed_bun_on_the_steamer,franka,,1
franka2_slide_close_the_drawer,franka,,1
franka2_slide_open_the_drawer,franka,,4
franka2_stack_the_bowl,franka,,1
franka2_take_eggs,franka,,16
franka2_take_the_blue_plate_from_the_plate_rack,franka,,4
franka_hang_towel_on_the_rack,franka,,24
franka_stack_the_cube,franka,,9
franka_stack_the_cup,franka,,5
insert_plate_into_rack,insert,3.0,4
move_banana_to_the_plate,move,1.0,1
move_lemon_to_the_plate,move,1.0,1
open_oven_ur,open,2.0,30
place_dish_into_oven,place,1.0,3
place_egg_into_egg_holder,place,1.0,10
place_eggplant_to_plate,place,1.0,8
place_plate_on_lower_rack,place,1.0,2
pull_plates_right,pull,2.0,2
put_bowls_left,put,1.0,11
stack_bowls,stack,3.0,1
stack_plate,stack,3.0,2
take_one_piece_of_bread_and_place_it_on_the_plate,take,1.0,1
two_arm_franka_01_collect_banana,two,,37
two_arm_franka_01_stack_bowl,two,,39
two_arm_franka_01_water_cup,two,,35
ur_5e_singleArm-gripper-4cameras_1_250401150853,ur,,96
ur_5e_singleArm-gripper-4cameras_1_250401150853_copy_1743491366629,ur,,62
ur_5e_singleArm-gripper-4cameras_1_250401150853_copy_1743491366629_copy_1743491456804,ur,,31
ur_gather_strawberries,ur,,15
ur_get_the_cubes_in_line,ur,,2
ur_hang_towel_on_the_rack,ur,,14
ur_lay_out_the_spoon,ur,,45
ur_put_mug_on_the_laptop,ur,,1
ur_slide_close_the_drawer,ur,,14
ur_slide_open_the_drawer,ur,,54
ur_stack_apples,ur,,1
ur_stack_random_cup,ur,,2
ur_stack_the_blue_bowl_on_the_green_bowl,ur,,3
ur_take_eggs,ur,,7
ur_take_the_blue_plate_from_the_plate_rack,ur,,5
ur_uncap_open_the_pot_lid,ur,,2
ur_wrist_classify_objects_on_conveyor,ur,,13
ur_wrist_close_drawer,ur,,37
ur_wrist_open_drawer,ur,,30
ur_wrist_push_tennis_ball_into_tennis_bucket,ur,,7
ur_wrist_put_baozi_in_steamer,ur,,20
ur_wrist_put_blue_doll_on_drawer,ur,,37
ur_wrist_put_brown_doll_into_drawer,ur,,37
ur_wrist_put_pink_doll_on_drawer,ur,,6
ur_wrist_put_sauce_pot_into_conveyor,ur,,3
ur_wrist_put_tennis_bucket_upright,ur,,8
ur_wrist_put_vermicelli_in_steamer,ur,,2
ur_wrist_put_white_doll_on_drawer,ur,,29
ur_wrist_throw_waste_into_dustbin,ur,,31
ur_wrist_upright_cup,ur,,94
