task,verb,failures,tier
135-place_cup_on_blue_bowl_with_left_hand,place,6,1.0
136-place_cup_on_blue_bowl_with_right_hand,place,9,1.0
137-place_cup_on_blue_bowl_with_left_hand_and_randomly_textured_table,place,9,1.0
138-place_cup_on_blue_bowl_with_right_hand_and_randomly_textured_table,place,6,1.0
139-place_cup_on_blue_bowl_with_left_hand_and_one_other,place,5,1.0
140-place_cup_on_blue_bowl_with_right_hand_and_one_other,place,13,1.0
141-place_cup_on_blue_bowl_with_left_hand_and_three_others,place,8,1.0
142-place_cup_on_blue_bowl_with_right_hand_and_three_others,place,17,1.0
143-place_cup_on_blue_bowl_with_left_hand_and_five_others,place,12,1.0
144-place_cup_on_blue_bowl_with_right_hand_and_five_others,place,21,1.0
145-place_new_style_cup_on_blue_bowl_with_left_hand,place,12,1.0
146-place_new_style_cup_on_blue_bowl_with_right_hand,place,28,1.0
470-put_apple_from_plate_into_bowl,put,25,1.0
471-put_apple_from_plate_in_middle_left_into_bowl,put,23,1.0
472-put_apple_from_plate_in_middle_right_into_bowl,put,13,1.0
473-put_apple_from_plate_into_bowl_in_middle_left,put,21,1.0
474-put_apple_from_plate_into_bowl_in_middle_right,put,43,1.0
475-put_apple_from_plate_into_bowl_with_randomly_textured_table,put,10,1.0
476-put_apple_from_plate_into_bowl_with_one_other,put,23,1.0
477-put_apple_from_plate_into_bowl_with_three_others,put,9,1.0
478-put_apple_from_plate_into_bowl_with_five_others,put,41,1.0
479-put_apple_from_plate_into_bowl_with_ten_others,put,14,1.0
chopsticks_into_container,,56,
close_oven_ur,close,14,2.0
dual_04_put_pear_and_tennis_into_blue_box_copy_1742182723656,put,17,1.0
dual_04_put_pear_and_tennis_into_pink_box_copy_1742182731496,put,21,1.0
dual_04_table_bussing,,155,
flip_the_cup_upright,flip,1,3.0
fold_towel_and_hang_it_on_the_rack,fold,12,2.0
franka2_add_seasoning,add,9,3.0
franka2_gather_strawberries,gather,14,1.0
franka2_get_the_cubes_in_line,get,1,1.0
franka2_lay_out_the_dish,lay,2,1.0
franka2_lay_out_the_fork,lay,1,1.0
franka2_lay_out_the_spoon,lay,8,1.0
franka2_move_apple_from_plate_to_bowl,move,6,1.0
franka2_move_garnet_from_plate_to_bowl,move,8,1.0
franka2_move_lemon_from_plate_to_bowl,move,3,1.0
franka2_pick_place_apple_on_the_plate,pick,19,1.0
franka2_put_mug_on_the_laptop,put,3,1.0
franka2_put_steamed_bun_on_the_steamer,put,1,1.0
franka2_slide_close_the_drawer,slide,1,2.0
franka2_slide_open_the_drawer,slide,4,2.0
franka2_stack_the_bowl,stack,1,3.0
franka2_take_eggs,take,16,1.0
franka2_take_the_blue_plate_from_the_plate_rack,take,4,1.0
franka_hang_towel_on_the_rack,hang,24,2.0
franka_stack_the_cube,stack,9,3.0
franka_stack_the_cup,stack,5,3.0
insert_plate_into_rack,insert,4,3.0
move_banana_to_the_plate,move,1,1.0
move_lemon_to_the_plate,move,1,1.0
open_oven_ur,open,30,2.0
place_dish_into_oven,place,3,1.0
place_egg_into_egg_holder,place,10,1.0
place_eggplant_to_plate,place,8,1.0
place_plate_on_lower_rack,place,2,1.0
pull_plates_right,pull,2,2.0
put_bowls_left,put,11,1.0
stack_bowls,stack,1,3.0
stack_plate,stack,2,3.0
take_one_piece_of_bread_and_place_it_on_the_plate,take,1,1.0
two_arm_franka_01_collect_banana,collect,37,1.0
two_arm_franka_01_stack_bowl,stack,39,3.0
two_arm_franka_01_water_cup,water,35,2.0
ur_5e_singleArm-gripper-4cameras_1_250401150853,,96,
ur_5e_singleArm-gripper-4cameras_1_250401150853_copy_1743491366629,,62,
ur_5e_singleArm-gripper-4cameras_1_250401150853_copy_1743491366629_copy_1743491456804,,31,
ur_gather_strawberries,gather,15,1.0
ur_get_the_cubes_in_line,get,2,1.0
ur_hang_towel_on_the_rack,hang,14,2.0
ur_lay_out_the_spoon,lay,45,1.0
ur_put_mug_on_the_laptop,put,1,1.0
ur_slide_close_the_drawer,slide,14,2.0
ur_slide_open_the_drawer,slide,54,2.0
ur_stack_apples,stack,1,3.0
ur_stack_random_cup,stack,2,3.0
ur_stack_the_blue_bowl_on_the_green_bowl,stack,3,3.0
ur_take_eggs,take,7,1.0
ur_take_the_blue_plate_from_the_plate_rack,take,5,1.0
ur_uncap_open_the_pot_lid,uncap,2,3.0
ur_wrist_classify_objects_on_conveyor,classify,13,2.0
ur_wrist_close_drawer,close,37,2.0
ur_wrist_open_drawer,open,30,2.0
ur_wrist_push_tennis_ball_into_tennis_bucket,push,7,2.0
ur_wrist_put_baozi_in_steamer,put,20,1.0
ur_wrist_put_blue_doll_on_drawer,put,37,1.0
ur_wrist_put_brown_doll_into_drawer,put,37,1.0
ur_wrist_put_pink_doll_on_drawer,put,6,1.0
ur_wrist_put_sauce_pot_into_conveyor,put,3,1.0
ur_wrist_put_tennis_bucket_upright,put,8,1.0
ur_wrist_put_vermicelli_in_steamer,put,2,1.0
ur_wrist_put_white_doll_on_drawer,put,29,1.0
ur_wrist_throw_waste_into_dustbin,throw,31,1.0
ur_wrist_upright_cup,upright,94,2.0
